scorer,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000
bodyparts,rf,rf,rf,lf,lf,lf,rh,rh,rh,lh,lh,lh
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,621.005188,589.0648193,0.979909062,641.9277344,534.1339111,0.392943084,613.5889893,590.2555542,0.579007804,651.0618286,624.1375122,0.939840376
1,621.005188,589.0648193,0.984309912,642.2605591,538.0849609,0.933863521,613.8306885,590.2555542,0.886633396,651.276123,631.0129395,0.889518976
2,621.005188,589.0648193,0.361663789,642.4968262,538.0849609,0.976449668,614.5797119,590.2555542,0.93666178,653.1100464,631.0129395,0.95016861
3,619.5423584,522.31604,0.273890018,642.4443359,538.0849609,0.980103731,614.5797119,587.2081909,0.989580572,653.4334717,631.0129395,0.956285536
4,619.5423584,516.0748901,0.870372534,642.3120728,538.0849609,0.980428874,614.7902832,587.2081909,0.988505602,653.4334717,607.1405029,0.474219561
5,619.5423584,501.4206848,0.988732636,642.4443359,538.034668,0.979167342,614.7902832,587.0338745,0.98935926,653.4334717,583.6135254,0.72301048
6,620.2001953,494.9458313,0.977663994,642.5205688,537.8512573,0.959898233,614.7902832,586.6672974,0.987713575,650.3226929,542.1802979,0.211320788
7,621.5467529,494.62146,0.995987713,643.3748169,486.2013245,0.268954635,614.7902832,577.4497681,0.937893987,650.3226929,541.6116333,0.931492865
8,621.5467529,493.6206665,0.991870165,643.9096069,463.795929,0.656983912,614.0114136,550.2648926,0.905578911,650.3226929,540.7501831,0.947918832
9,621.5467529,493.6206665,0.909348965,643.944458,448.9749756,0.992477953,614.0114136,499.8572998,0.641171694,650.8405762,540.465332,0.936814666
10,618.6540527,442.578064,0.457818061,643.944458,448.6906128,0.995546222,614.0114136,499.5764771,0.991226315,651.0074463,538.4306641,0.925706506
11,618.6540527,434.4470215,0.987130582,643.944458,447.6837158,0.99205631,614.0827637,499.4749756,0.987982452,651.1050415,518.678894,0.853284359
12,618.5443726,426.7656555,0.96181494,643.9901123,447.4788818,0.992712498,614.1064453,499.5764771,0.986219525,656.2219238,503.9858093,0.540179193
13,618.5443726,426.7656555,0.974906147,643.9901123,443.7903748,0.982193589,614.1196289,499.5764771,0.985683978,656.6689453,478.2078247,0.954036236
14,618.5443726,426.7656555,0.968234599,643.9901123,443.5118713,0.9832564,614.1196289,500.0665894,0.985592723,657.0751343,478.2078247,0.951294601
15,618.5443726,438.4005127,0.939519227,643.9278564,443.5118713,0.98214668,614.1196289,500.0924377,0.985642433,658.6126099,478.2078247,0.953935623
16,616.8671875,448.716156,0.995461643,643.4882202,443.5118713,0.983468592,613.1992798,501.0977173,0.989571452,658.6126099,478.2741699,0.957847834
17,616.3220215,449.5449524,0.98348099,642.7619629,443.6104431,0.947945714,612.4880371,503.8233643,0.989752591,658.6126099,479.2348938,0.958383918
18,616.3040161,449.5449524,0.981871128,642.3347168,445.331604,0.956084251,612.4880371,505.7202454,0.989543736,658.6126099,480.04599,0.961846173
19,616.3040161,449.5449524,0.874493718,642.3347168,445.8067627,0.916340172,612.4880371,505.7202454,0.990116477,658.4946899,480.2921753,0.959666848
20,616.3040161,449.5449524,0.852866173,642.3347168,447.6278381,0.909965456,612.5629272,505.7202454,0.990056992,658.1087646,481.1538086,0.956827104
21,617.3441772,449.5449524,0.645606875,643.1481323,447.6278381,0.36404115,613.6356201,505.2844849,0.990144432,657.1386108,481.6893005,0.955151916
22,617.6958618,450.9960938,0.473152071,652.02948,474.4708557,0.426077187,613.9416504,503.327179,0.988788903,656.9863281,481.9134521,0.950760007
23,626.0192871,454.8129578,0.992467582,652.02948,474.4708557,0.441080838,613.9416504,502.7854614,0.988992631,656.7973022,481.9134521,0.945170641
24,628.4351807,456.5229797,0.985029101,652.02948,474.4708557,0.356755644,613.9416504,502.7854614,0.989411473,656.7746582,482.1877747,0.947863698
25,629.1482544,456.5229797,0.86262852,652.1361084,473.5002747,0.296914428,613.6602173,502.7854614,0.990795374,656.6799927,481.9134521,0.947755277
26,629.1482544,466.3595276,0.984238625,652.3485718,473.5002747,0.217309281,613.4056396,502.9993286,0.991497874,655.8361816,481.5256042,0.950232565
27,629.1865234,466.3595276,0.949028671,652.3485718,473.5002747,0.310771018,613.4056396,503.7828369,0.990265965,655.8361816,481.3264771,0.928503156
28,629.1865234,466.3595276,0.963516593,653.5116577,474.0771179,0.396894276,613.4056396,503.7828369,0.987487376,655.8079834,481.3264771,0.92250675
29,629.0625,464.5609741,0.964665771,653.5116577,474.4248657,0.468739986,614.0393066,503.7828369,0.98432672,655.8079834,481.3264771,0.915598333
30,627.4203491,464.0177917,0.995331705,653.5116577,474.6791992,0.455550313,614.3948975,502.7711487,0.98264569,655.5942383,482.2136841,0.900873184
31,626.7969971,463.7047729,0.993286431,652.651123,474.884552,0.511028051,614.3948975,502.7711487,0.9846825,654.9713745,482.6136475,0.924490631
32,626.7969971,463.7047729,0.992025435,652.456604,475.0036926,0.535758555,614.3948975,502.7711487,0.98304981,654.9282227,483.46698,0.947229147
33,627.4203491,463.7047729,0.995992064,652.2092285,475.1439514,0.562076032,614.138855,503.7250061,0.989348471,654.8848267,483.5160828,0.938369632
34,628.6644287,465.0866089,0.998230815,652.2089844,476.013031,0.614542842,613.9710083,503.890686,0.989156902,654.6040649,483.6930542,0.928144693
35,628.6644287,465.9851074,0.997423291,652.2092285,476.5912476,0.63674736,613.9405518,504.1868591,0.988880813,654.4498291,484.139801,0.92086637
36,628.6644287,466.6832275,0.995718598,652.2092285,477.5436401,0.621217251,613.8482666,504.8542175,0.985779524,654.1201172,484.139801,0.908640087
37,628.4900513,466.6832275,0.997125745,652.2790527,477.5436401,0.609072268,613.6047363,504.9215393,0.985501111,654.1010132,484.0591736,0.898494005
38,628.2416992,466.6832275,0.997976363,652.2790527,477.5436401,0.623828828,613.6047363,504.9215393,0.987463236,654.1010132,484.0591736,0.893287897
39,627.9901733,464.7680664,0.999258995,652.2790527,475.8027344,0.439355135,613.6047363,504.9215393,0.9883551,654.1010132,483.9474487,0.914407074
40,627.9901733,459.6289673,0.986459374,652.2446899,475.7887573,0.521151423,614.3771973,504.2607422,0.990240395,654.9577637,483.1742859,0.946680307
41,627.9901733,454.4022827,0.997050583,652.2446899,475.0561829,0.537120342,615.295166,502.5778503,0.988952577,654.9577637,481.6313782,0.943452775
42,628.3624878,454.4022827,0.994955599,652.1700439,474.2667542,0.502066433,616.1622314,502.3067627,0.985094547,655.1173096,480.3792114,0.925107121
43,629.9802856,454.305481,0.994357765,652.1700439,472.7281494,0.521585941,616.1622314,502.2077332,0.985514581,655.0747681,479.2718201,0.90361917
44,630.1212769,454.305481,0.995730221,651.6599731,472.6662292,0.468015403,616.1622314,501.9947205,0.985274851,655.0118408,478.8659668,0.934438765
45,630.1212769,454.305481,0.997779369,651.6524048,471.8735962,0.498147041,615.9817505,501.7224426,0.98527205,655.0118408,478.6065979,0.934770465
46,629.9802856,453.599823,0.997029781,642.7131348,425.4733276,0.453384846,615.8121948,501.4185791,0.983753443,655.0118408,478.2243652,0.940029323
47,629.8881836,453.3491516,0.997295737,642.3370972,424.72229,0.524529815,614.9060059,501.1000977,0.98680836,654.6877441,478.0123596,0.945505798
48,628.9539795,452.9825745,0.996486366,642.3370972,424.72229,0.63324368,614.5652466,500.8065796,0.987645507,654.6877441,476.5318909,0.92483449
49,628.4304199,452.9825745,0.99689734,642.0704346,424.5209351,0.601775169,614.5499878,499.875824,0.986690462,654.6877441,476.3686218,0.933296442
50,628.2920532,452.9825745,0.996398985,642.0704346,424.5209351,0.273763806,614.4311523,492.4434509,0.986641586,654.6877441,476.3686218,0.95219636
51,628.2920532,453.1298218,0.996053755,651.1065674,469.6243591,0.26001206,614.1394043,478.0791321,0.873349428,655.0737915,476.5063782,0.957859755
52,628.2920532,453.1298218,0.992347658,651.8491821,471.0490417,0.175372273,612.9735718,477.6462097,0.967590928,655.4036865,476.5318909,0.95548588
53,628.4107056,453.1298218,0.994956851,651.8491821,471.0490417,0.165219724,612.9732666,477.1072693,0.99096489,655.7685547,476.5744934,0.947465301
54,628.4107056,452.5932922,0.996836543,651.8491821,471.0490417,0.141128868,612.3510132,477.6462097,0.988782287,655.9451904,476.7132568,0.956190526
55,628.4107056,448.8818359,0.992945552,651.6533813,471.0490417,0.193642184,612.3510132,478.0560913,0.988006711,655.9451904,478.5895386,0.964047015
56,623.4024658,444.9576111,0.538348377,645.2249756,447.6295776,0.709444642,612.9735718,478.0560913,0.988106906,655.9451904,478.6625671,0.968814969
57,618.9101563,444.9576111,0.476875663,645.2249756,447.6295776,0.48976922,613.0014648,478.5470581,0.988747537,655.4993896,478.6625671,0.966957629
58,618.1708984,444.9576111,0.790121853,643.8062134,444.5461426,0.913614929,613.5292969,478.7538452,0.988572538,655.4993896,478.6596985,0.965257466
59,618.1708984,446.3988647,0.083819248,645.2249756,444.5461426,0.244056955,613.8885498,478.7538452,0.982880235,655.4993896,478.6596985,0.962814867
60,618.9101563,452.137085,0.079281799,645.2249756,449.5911255,0.429446042,613.9695435,478.7538452,0.981600881,655.5202026,478.6596985,0.954787672
61,621.859375,454.6556702,0.812277675,641.833374,451.9840698,0.280737489,614.0216064,478.7981873,0.981104553,655.5202026,478.6596985,0.950084805
62,621.859375,454.6556702,0.954503059,641.7397461,450.739624,0.330426127,614.0916138,478.7981873,0.981083512,655.5202026,479.0127563,0.951905787
