scorer,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120
bodyparts,RF,RF,RF,LF,LF,LF,RH,RH,RH,LH,LH,LH
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,479.9891,708.86487,0.47333354,478.59885,706.36255,0.3868866,10.956364,698.6278,0.5221724,23.1731,696.06396,0.60776305
1,482.9326,710.1337,0.48105988,481.13486,707.3472,0.4062526,10.956364,699.8654,0.41988474,39.30564,696.06396,0.47778684
2,567.696,710.1337,0.4816643,565.081,707.3472,0.4220793,10.956364,715.40216,0.3493183,41.324673,696.06396,0.48473743
3,567.696,710.1337,0.47398993,565.081,707.3472,0.42002872,14.9097185,719.3479,0.49376127,45.334213,694.5952,0.5179558
4,568.45526,709.8565,0.4881766,565.8033,707.3472,0.42466918,14.9097185,720.0146,0.640983,54.858612,692.51294,0.5462681
5,568.85815,710.1337,0.5702671,566.57025,707.72235,0.50447035,14.9097185,720.5056,0.73203015,63.637978,689.5404,0.5715962
6,570.8758,709.8565,0.5344902,570.9634,707.72235,0.46157235,18.068117,720.5056,0.73807126,70.66652,689.5404,0.67151356
7,571.4078,710.44385,0.52443796,571.56635,708.3324,0.4534359,23.340158,721.9668,0.78762007,74.736916,689.5404,0.4542629
8,590.66046,710.44385,0.37752515,589.1395,708.3324,0.32874146,25.909697,722.1792,0.7946146,83.714874,691.24884,0.5705602
9,592.1868,712.1356,0.45976552,590.48413,709.7732,0.41066375,41.05812,722.2083,0.840778,83.714874,692.8809,0.5008622
10,592.48376,712.1559,0.42649868,590.85095,710.83276,0.38272756,56.403294,722.2083,0.91433877,97.707184,692.8809,0.54950047
11,594.60925,714.83044,0.44537133,592.2963,713.01404,0.37623718,58.977543,722.1792,0.8611486,105.12661,692.8809,0.33579892
12,592.48376,714.83044,0.45865545,590.85095,713.01404,0.39271778,63.669395,719.0431,1.0,115.72886,689.184,0.5536935
13,592.1868,714.83044,0.47810426,590.48413,713.01404,0.4078123,73.86785,718.6702,0.89921176,122.36443,688.7064,0.49635872
14,592.48376,715.49066,0.44757676,590.85095,713.4657,0.4069585,79.15744,718.6702,1.0,128.3265,687.55237,0.47789043
15,594.60925,715.49066,0.37648854,592.2963,713.4657,0.33009213,79.178345,718.6702,1.0,129.97768,686.145,0.48583055
16,643.21326,715.49066,0.5440587,640.8342,713.4657,0.47489938,82.31718,719.0754,1.0,135.30884,685.8806,0.56162155
17,643.26843,716.5071,0.5758978,641.024,714.4088,0.5024664,87.077484,719.4226,1.0,140.99603,687.294,0.4394099
18,643.4352,717.16565,0.5896551,641.1286,715.00037,0.51583666,88.753876,719.4226,0.8312553,148.91728,685.345,0.6379548
19,643.4352,717.50134,0.58783954,641.1286,715.15643,0.51646227,94.42349,719.0754,0.7024844,153.10828,685.2782,0.59651226
20,643.5753,717.5823,0.5832424,641.33746,715.3472,0.5141069,97.33584,717.73267,0.69405824,157.06703,684.57166,0.45981023
21,643.6222,717.7712,0.5806512,641.33746,715.437,0.51239675,97.33584,716.3072,0.6660079,158.62486,684.57166,0.4746791
22,643.72906,718.00757,0.59090793,641.61774,715.6498,0.52188605,97.33584,716.3072,0.59500563,159.36755,684.57166,0.48855808
23,643.72906,718.0445,0.5835891,641.61774,715.70544,0.5136183,90.558754,714.93207,0.5218532,161.72481,685.1056,0.5544531
24,643.72906,718.4965,0.5777329,641.6225,716.1125,0.5129165,90.558754,716.17084,0.5696573,163.28969,685.17444,0.5661656
25,644.07227,718.4965,0.57473266,641.933,716.1125,0.51103693,90.558754,716.17084,0.56536657,163.5435,686.194,0.5506197
26,644.3935,718.4965,0.57757217,642.2051,716.1125,0.514326,99.56485,715.424,0.5629769,166.11911,686.2331,0.55528706
27,644.6237,718.47284,0.5832571,642.39246,715.9207,0.5179628,100.693474,715.424,0.57319206,166.3113,686.46625,0.54695016
28,645.39264,718.1908,0.5764591,643.0882,715.5875,0.51154363,108.91289,716.17084,0.70135325,168.27856,688.8501,0.49547982
29,645.39264,717.98846,0.5881901,643.0882,715.3982,0.5233602,109.04643,715.7168,0.7958194,168.27856,689.3437,0.4725147
30,645.39264,717.8933,0.5892821,643.0882,715.3982,0.5234919,110.53143,715.7168,0.6999822,168.85794,692.1258,0.4450636
31,644.93933,717.8933,0.58023596,642.5911,715.3982,0.512753,111.02347,715.7168,0.6803555,168.6697,692.613,0.4531209
32,644.4862,717.8933,0.5841201,642.1802,715.4592,0.517217,111.29514,715.4018,0.70413154,168.39677,692.613,0.45740452
33,644.2117,718.14453,0.58052856,641.92224,715.69806,0.5145666,111.33807,715.4018,0.70200443,168.57016,692.2837,0.4712583
34,644.2117,718.1588,0.58040994,641.92224,715.726,0.51458526,111.54103,715.4018,0.69812936,168.57016,692.4327,0.49039537
35,644.2117,718.26917,0.57197815,641.92224,715.834,0.5065256,111.57101,715.39996,0.69633675,168.57016,692.2837,0.4848139
36,644.25586,718.27185,0.5760028,642.05096,715.8626,0.5106149,112.01622,715.2763,0.71474475,168.57016,691.8918,0.47611547
37,644.2989,718.27185,0.57021016,642.07623,715.8626,0.50524044,113.7831,714.40356,0.6187503,171.32925,692.2837,0.51333976
38,644.2989,718.27185,0.57412577,642.07623,715.834,0.50971454,115.0238,714.0535,0.6209369,172.60455,692.4327,0.46965057
39,644.25586,715.1399,0.5185256,642.07623,712.36523,0.4490794,115.90528,714.0535,0.5797337,172.81679,693.6742,0.4388274
40,644.5669,714.7925,0.3770067,642.3635,712.31055,0.3299183,116.12227,713.96814,0.5905158,210.63976,712.611,0.47358906
41,649.0154,713.1103,0.3926623,647.0764,711.008,0.33797288,118.75069,713.96814,0.6252676,215.41318,712.611,0.53124124
42,718.29297,708.4304,0.4450994,716.9566,706.55365,0.37269345,143.63167,713.96814,0.6065656,216.1341,712.703,0.4861447
43,718.36536,708.4304,0.44788912,717.2001,706.55365,0.3731862,156.62555,714.09467,0.59542483,222.83757,713.86304,0.45972082
44,718.70654,708.4304,0.46272764,717.2021,706.55365,0.38919908,169.7544,716.8327,0.82396966,239.55379,712.703,0.43783227
45,718.70654,709.52875,0.4751286,717.2021,707.4644,0.40166768,169.7544,718.9473,0.84496343,266.79456,711.84406,0.29759762
46,720.13513,709.58765,0.47146434,718.1454,707.5629,0.3991391,169.7544,718.9473,0.8252219,274.90982,710.3169,0.5216381
47,721.14685,709.59607,0.47993356,719.0375,707.702,0.40232694,171.22154,718.9473,0.82809126,275.46878,709.821,0.5394026
48,723.90204,709.83374,0.48025644,722.0,707.8243,0.40911317,171.46585,718.50964,0.8329883,275.46878,709.7607,0.5475441
49,723.995,709.93835,0.47637928,722.95374,707.91614,0.3973113,171.46585,718.3962,0.81689364,275.46878,708.27545,0.5525137
50,724.0725,710.1167,0.4711028,723.00006,708.10284,0.39497247,171.46585,718.16254,0.87850535,275.06146,704.9858,0.49529198
51,725.0938,710.415,0.47362372,723.7681,708.31305,0.40120968,171.46585,717.9459,0.8724417,246.64484,681.3215,0.5024095
52,724.0725,710.6926,0.49633777,723.00006,708.48663,0.4300166,183.34253,714.78503,0.8941509,246.64484,678.28326,0.6091875
53,725.2931,710.6926,0.44160658,723.91504,708.48663,0.3853921,194.03548,714.78503,0.9869492,246.64484,670.05505,0.5665941
54,727.36914,710.6926,0.3498786,724.79926,708.48663,0.286934,200.90216,714.78503,0.9687628,260.52563,670.05505,0.48658606
55,787.38165,706.9643,0.47330025,785.81616,705.2518,0.39199612,215.00824,714.78503,0.8955061,275.8293,670.05505,0.3918341
56,787.93054,706.9643,0.5505667,786.49414,705.2518,0.463523,224.91405,714.78503,0.80546635,289.63785,671.2725,0.5878243
57,788.83264,706.9643,0.5619448,786.9294,705.2518,0.46867946,242.19574,710.7239,0.88707197,295.60193,673.54803,0.6021168
58,790.6273,706.9643,0.5509116,789.343,705.97675,0.46108642,248.11781,710.7239,1.0,300.5992,677.32605,0.5351581
59,791.67175,706.9643,0.5304181,790.2088,705.97675,0.44227257,248.45601,710.7239,0.9675632,308.45584,677.32605,0.7417478
60,794.1062,706.7864,0.48602194,792.07117,705.97675,0.39874977,260.707,712.8678,0.937062,314.2181,674.4448,0.56419444
61,794.1576,706.67535,0.48251158,792.15717,706.26666,0.39239478,261.48,712.8678,0.98707944,314.5776,674.38043,0.58975786
62,794.1576,706.67535,0.48405993,792.15717,706.26666,0.39394435,263.94812,713.0339,0.9684919,316.6328,674.4448,0.632148
63,794.4082,706.67535,0.496323,793.88214,705.6667,0.41200528,267.39032,713.2531,1.0,319.78796,674.4448,0.75219285
64,794.1576,706.80634,0.503651,792.15717,706.6709,0.42659783,269.53973,713.2531,1.0,320.17664,675.4277,0.7269476
65,793.9559,706.9156,0.50038034,791.96313,706.9653,0.4118837,271.87897,713.6994,1.0,322.5243,679.8329,0.61651576
66,793.5244,707.2528,0.5064988,791.60266,706.9653,0.42186385,276.8098,713.6994,0.9784218,325.06525,682.6981,0.526219
67,793.5244,707.37335,0.51456904,791.60266,707.01074,0.43450207,282.25656,713.6994,0.77909106,332.35483,687.8279,0.47099197
68,793.5244,708.1224,0.5308482,791.60266,707.17365,0.47265726,284.68332,712.819,0.78675073,335.518,693.83215,0.39216325
69,792.90924,709.2814,0.54880625,791.02765,707.59436,0.4684161,286.4297,712.64636,0.7399675,339.627,693.83215,0.46622038
70,791.1857,709.33405,0.49960217,789.66864,707.59436,0.42741004,292.87146,712.64636,0.807653,357.24643,693.83215,0.22397889
