scorer,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000
bodyparts,iliac crest,iliac crest,iliac crest,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,mtp,mtp,mtp,toe,toe,toe
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,150.3583069,289.8865967,0.884522676,117.4543228,307.6858521,0.972432375,180.6997833,331.6167297,0.683152318,148.1134796,344.4205322,0.792785227,114.1896362,358.3313293,0.890211344,73.58853912,371.8093262,0.852327526
1,150.551178,289.9695129,0.88192296,117.7256165,307.8496399,0.973257005,181.204895,331.7884827,0.688035786,148.8124847,344.5417175,0.773137748,117.6358948,358.4736633,0.862717748,73.59848022,371.8406372,0.853676498
2,151.331604,289.9869995,0.905852139,118.5677567,308.0170898,0.97754246,181.4264526,332.5050964,0.640323102,149.7705078,344.7947693,0.722980142,119.0916901,359.0795593,0.856653333,73.99226379,371.9074097,0.840412021
3,151.3964539,290.1038818,0.903490603,118.6131897,308.0454407,0.973777294,185.6673889,333.8140869,0.708725452,150.2230988,345.3618469,0.677426219,119.3851089,359.797821,0.785288393,73.99226379,372.2850342,0.795723677
4,153.2736664,290.1996155,0.893488467,118.8801727,308.2630615,0.972888052,186.6711121,333.8140869,0.667787015,151.8894043,346.3007507,0.621195972,120.6665497,360.1516418,0.746528804,74.12792206,372.5559998,0.792765915
5,154.6129761,290.1996155,0.902823508,119.399292,308.8491211,0.974076629,186.6711121,333.8140869,0.694965541,155.7079315,349.6183777,0.627065301,121.3281708,360.5604553,0.715297997,74.14650726,372.5708008,0.825812638
6,155.7617493,290.1038818,0.908603251,121.1229248,308.8491211,0.978282273,186.6711121,333.5589905,0.590732932,155.8634033,349.6183777,0.702533185,122.3333054,360.6214294,0.80385685,75.8130188,372.9397888,0.789002776
7,155.7617493,290.1996155,0.908652663,121.5626221,308.2630615,0.975066066,186.7003021,333.5584412,0.517079175,157.2272339,349.4013672,0.656169713,122.7029037,360.8710327,0.798326612,76.31617737,373.3602905,0.736142635
8,153.8894196,290.2623291,0.91519475,122.4146881,307.8563843,0.974211931,186.7003021,333.092041,0.518506885,157.2784424,349.3226318,0.679733515,123.6140137,361.0886841,0.825264454,76.95953369,373.5308838,0.667210281
9,156.6064301,290.0322876,0.813054442,127.7593994,307.3364868,0.964352548,190.3067322,332.9124756,0.598189533,167.0218964,349.3226318,0.7045362,137.5173798,361.2205505,0.638385355,82.18009186,373.5308838,0.527053773
10,156.9478302,289.999176,0.800477087,129.6638489,307.3364868,0.964712441,201.5619202,332.5869446,0.573613524,169.4718628,348.4011536,0.720080078,144.6761475,361.2205505,0.815254629,82.93321991,373.5308838,0.392471343
11,161.9769135,289.999176,0.821005642,135.079834,307.3364868,0.982423246,206.6719208,332.5869446,0.639419973,175.587326,345.3122864,0.466941357,159.7914124,361.7967834,0.724549711,123.42173,372.6562195,0.55785656
12,188.5493317,289.999176,0.846216321,138.9788666,308.2161255,0.967171013,209.7565002,332.5869446,0.540761948,189.2845612,345.3122864,0.54409039,160.945816,361.7967834,0.88092941,126.100235,372.6562195,0.855344713
13,191.0617981,288.8705444,0.851347864,151.0622101,313.7065735,0.981722593,222.0205383,333.1729431,0.554266572,190.9087677,345.1106262,0.654485404,165.0169678,361.7967834,0.931788921,126.4944458,372.6562195,0.939090967
14,191.7323456,288.8705444,0.821947277,154.0653992,315.1949158,0.974581957,222.3383636,333.572052,0.409493327,195.8815918,345.3122864,0.696552515,167.2369843,362.2431946,0.951487303,131.543869,373.0083313,0.95848304
15,203.5851746,288.8705444,0.777954459,158.6441956,315.1949158,0.938007712,223.6497498,337.3561401,0.492734283,201.087326,345.4117737,0.729173958,170.6131592,362.5741272,0.944526613,132.0150909,373.222229,0.958923817
16,203.745697,288.8705444,0.75392437,159.1560974,315.1949158,0.943229496,224.2447357,337.8955688,0.448752671,201.7418518,345.4711304,0.719597578,171.5887299,363.5982666,0.933181167,132.4997253,373.2270508,0.959857821
17,205.1853027,288.0028076,0.792910278,163.5055695,314.9499817,0.953350723,228.4486084,337.8955688,0.417900175,202.1506195,345.4711304,0.752655208,173.2104645,363.5982666,0.938815355,132.9695129,373.7578125,0.955390394
18,212.1155853,287.0501099,0.802673638,165.8726349,314.8325195,0.971791208,231.2961121,338.1372986,0.488694251,204.2781372,346.7332458,0.765174985,175.6984863,363.5982666,0.953415811,133.736496,373.9995117,0.859682798
19,223.1378937,287.0501099,0.838427126,170.6046906,314.8325195,0.976284921,246.3068237,339.0092773,0.561149895,212.2359924,349.0465088,0.796895981,181.245224,363.8877258,0.978490353,149.6747131,374.1053772,0.838508368
20,225.5697937,287.0501099,0.883350253,175.121521,314.9499817,0.94038111,253.920578,340.3620605,0.643434107,217.5215149,349.6226807,0.826467812,184.7694855,364.6454468,0.960937142,160.1927032,374.3194275,0.794790566
21,234.2580414,292.2536926,0.870169938,187.9242859,319.1416321,0.956635177,259.9379272,342.2556152,0.583405614,220.6160126,351.6756897,0.658275485,196.6880341,365.3793335,0.720335722,171.5010376,374.8211975,0.881525338
22,238.0596619,294.6443176,0.936761141,196.8055725,321.1616821,0.9588269,260.3747864,342.4338379,0.629279733,223.9351501,352.4692688,0.718912363,197.3789825,366.0054626,0.872990787,172.7493286,376.0090637,0.963235974
